GEOID_c0,GEOID_c1,n
17031081100,17031010100,1
17031243500,17031010100,1
17031081800,17031010201,1
17031320100,17031010300,1
17031081401,17031010300,1
17031221400,17031010400,1
17031330100,17031010400,1
17031320600,17031010400,1
17031833000,17031010400,1
17031320600,17031010501,1
17031081800,17031010501,1
17031320600,17031010503,1
17031081201,17031010503,2
17031320100,17031010600,1
17031833000,17031010600,1
17031081402,17031010600,1
17031081700,17031010702,1
17031320600,17031010702,1
17031330100,17031020100,1
17031320100,17031020302,1
17031242100,17031020400,1
17031081700,17031020601,2
17031330100,17031020602,1
17031320100,17031020602,1
17031081403,17031020801,2
17031842200,17031030101,1
17031320600,17031030101,2
17031330100,17031030102,2
17031320600,17031030102,1
17031330100,17031030104,1
17031320600,17031030200,1
17031330100,17031030200,1
17031080300,17031030500,1
17031081800,17031030500,1
17031320100,17031030500,1
17031243500,17031030604,1
17031081402,17031030604,1
17031280100,17031030604,1
17031081403,17031030604,2
17031320100,17031030604,1
17031842200,17031030604,1
17031061000,17031030701,1
17031081800,17031030701,1
17031330100,17031030701,1
17031320100,17031030702,1
17031081403,17031030703,1
17031081800,17031030703,1
17031842200,17031030703,1
17031081700,17031030706,1
17031080300,17031030706,1
17031081402,17031030706,1
17031070102,17031030706,1
17031833100,17031030800,1
17031320100,17031030900,1
17031061000,17031031000,2
17031330100,17031031000,2
17031842200,17031031000,1
17031330100,17031031100,1
17031080300,17031031100,1
17031081700,17031031100,1
17031061000,17031031200,1
17031280100,17031031200,1
17031320600,17031031200,1
17031330100,17031031200,1
17031081800,17031031200,1
17031061000,17031031300,1
17031833000,17031031300,1
17031081700,17031031300,2
17031081800,17031031300,2
17031842200,17031031300,2
17031330100,17031031300,1
17031280100,17031031300,2
17031842200,17031031400,1
17031330100,17031031400,2
17031081800,17031031400,1
17031280100,17031031400,1
17031081201,17031031400,1
17031243500,17031031400,1
17031320600,17031031400,3
17031061000,17031031400,1
17031320600,17031031501,2
17031081401,17031031501,1
17031081800,17031031501,1
17031330100,17031031502,1
17031280100,17031031502,1
17031081402,17031031502,1
17031242100,17031031700,1
17031320600,17031031700,1
17031081403,17031031700,1
17031081800,17031031700,1
17031330100,17031031700,1
17031280100,17031031700,1
17031243500,17031031900,2
17031330100,17031031900,1
17031081700,17031031900,1
17031320600,17031032100,2
17031320100,17031032100,2
17031081402,17031032100,2
17031842200,17031032100,1
17031081800,17031032100,3
17031081700,17031032100,1
17031330100,17031032100,4
17031062100,17031032100,1
17031061000,17031032100,3
17031061000,17031040100,1
17031081800,17031040201,1
17031320100,17031040202,1
17031280100,17031040401,1
17031081402,17031040401,1
17031320600,17031040401,1
17031080300,17031040402,1
17031061000,17031040402,1
17031280100,17031040402,2
17031320100,17031040600,1
17031242100,17031040600,1
17031833000,17031040600,1
17031081201,17031040700,1
17031061000,17031040700,1
17031081403,17031040700,2
17031833000,17031040700,1
17031320100,17031040700,1
17031320100,17031040800,2
17031842200,17031040900,1
17031081401,17031040900,3
17031842200,17031050100,1
17031081800,17031050100,1
17031081403,17031050200,1
17031320100,17031050200,1
17031081100,17031050200,1
17031330100,17031050200,1
17031081800,17031050500,1
17031842200,17031050500,1
17031081402,17031050600,1
17031833000,17031050700,1
17031241400,17031050800,1
17031330100,17031050900,1
17031842200,17031050900,1
17031081800,17031050900,1
17031081700,17031051000,1
17031081800,17031051000,1
17031833000,17031051200,1
17031320100,17031051200,1
17031833100,17031051200,1
17031330100,17031051200,2
17031320600,17031051300,1
17031062100,17031051300,2
17031081700,17031051300,1
17031330100,17031051300,1
17031081800,17031051300,1
17031280100,17031051300,1
17031081800,17031051400,1
17031320600,17031051400,1
17031842200,17031051400,1
17031061000,17031060100,1
17031280100,17031060100,1
17031081700,17031060100,2
17031070102,17031060100,2
17031081402,17031060200,1
17031842200,17031060300,1
17031062100,17031060300,1
17031330100,17031060300,1
17031081402,17031060300,1
17031280100,17031060300,1
17031833000,17031060300,1
17031280100,17031060400,1
17031320600,17031060400,1
17031081402,17031060400,1
17031081700,17031060400,1
17031081800,17031060500,1
17031081201,17031060500,1
17031061000,17031060800,4
17031280100,17031060800,2
17031330100,17031060800,3
17031081800,17031060800,1
17031081403,17031060800,1
17031320100,17031060800,1
17031320600,17031060800,1
17031081401,17031060900,1
17031081402,17031060900,2
17031081900,17031060900,1
17031280100,17031060900,3
17031081800,17031060900,1
17031061000,17031060900,1
17031320600,17031060900,2
17031833000,17031060900,1
17031081403,17031060900,1
17031330100,17031060900,4
17031081201,17031061000,3
17031081800,17031061000,2
17031320100,17031061000,1
17031061000,17031061000,6
17031081700,17031061000,1
17031280100,17031061000,3
17031062100,17031061000,1
17031833100,17031061000,1
17031081402,17031061000,2
17031062900,17031061100,1
17031242200,17031061100,1
17031081700,17031061200,2
17031081401,17031061200,1
17031320600,17031061200,1
17031243500,17031061200,1
17031080300,17031061200,1
17031330100,17031061200,1
17031061000,17031061200,3
17031081402,17031061200,1
17031081403,17031061500,2
17031280100,17031061500,2
17031081800,17031061500,5
17031081700,17031061500,2
17031842200,17031061800,1
17031081100,17031061800,1
17031081403,17031061800,1
17031062100,17031061901,2
17031081800,17031061901,1
17031081100,17031061901,1
17031081700,17031061901,2
17031320600,17031061901,1
17031081402,17031061901,2
17031833100,17031061901,1
17031061000,17031061901,2
17031320100,17031061901,4
17031081401,17031061902,1
17031833000,17031061902,3
17031062100,17031061902,1
17031081700,17031061902,1
17031081201,17031061902,1
17031080300,17031061902,1
17031062900,17031061902,1
17031320600,17031061902,2
17031081900,17031061902,1
17031842200,17031061902,1
17031320100,17031061902,2
17031081800,17031061902,1
17031280100,17031061902,1
17031081403,17031062000,1
17031070102,17031062000,1
17031081700,17031062000,2
17031320100,17031062000,2
17031320600,17031062000,1
17031081800,17031062100,1
17031833000,17031062100,1
17031062100,17031062100,1
17031061000,17031062100,1
17031280100,17031062100,2
17031242100,17031062100,1
17031241400,17031062100,1
17031320600,17031062100,1
17031243500,17031062100,1
17031062900,17031062100,1
17031330100,17031062100,1
17031842200,17031062200,3
17031081800,17031062200,3
17031081403,17031062200,1
17031081201,17031062200,1
17031280100,17031062200,1
17031080300,17031062200,2
17031081800,17031062300,1
17031080300,17031062300,1
17031280100,17031062300,1
17031280100,17031062400,1
17031081800,17031062400,3
17031842200,17031062400,1
17031080300,17031062400,1
17031320100,17031062500,1
17031061000,17031062500,1
17031081900,17031062500,2
17031081403,17031062500,1
17031081100,17031062600,1
17031081403,17031062600,1
17031081800,17031062600,1
17031081402,17031062600,1
17031833000,17031062600,1
17031062900,17031062600,1
17031221400,17031062600,1
17031242100,17031062700,1
17031833000,17031062700,1
17031280100,17031062700,3
17031842200,17031062700,1
17031081201,17031062700,1
17031081800,17031062700,1
17031062100,17031062700,2
17031320100,17031062700,1
17031842200,17031062800,3
17031081800,17031062800,1
17031330100,17031062800,1
17031080300,17031062800,1
17031081403,17031062800,1
17031081201,17031062800,1
17031081402,17031062800,1
17031280100,17031062800,1
17031061000,17031062800,1
17031320600,17031062800,3
17031081403,17031062900,1
17031842200,17031062900,2
17031062900,17031062900,2
17031280100,17031062900,1
17031833000,17031062900,1
17031243500,17031062900,1
17031081800,17031062900,4
17031080300,17031062900,2
17031081700,17031062900,2
17031071300,17031062900,1
17031320100,17031062900,1
17031081100,17031063000,1
17031330100,17031063000,1
17031842200,17031063000,3
17031221400,17031063000,1
17031081403,17031063000,2
17031081800,17031063000,2
17031243500,17031063000,1
17031280100,17031063000,1
17031320100,17031063000,1
17031081700,17031063000,1
17031061000,17031063000,1
17031080300,17031063000,1
17031833000,17031063000,3
17031081700,17031063100,1
17031243500,17031063100,1
17031842200,17031063100,3
17031081403,17031063100,4
17031061000,17031063100,1
17031833000,17031063100,1
17031330100,17031063100,3
17031081201,17031063200,1
17031842200,17031063200,1
17031320100,17031063200,2
17031330100,17031063200,2
17031242100,17031063200,1
17031081800,17031063200,4
17031241400,17031063200,1
17031833000,17031063200,2
17031243500,17031063200,1
17031062900,17031063200,1
17031061000,17031063200,2
17031081100,17031063200,2
17031320600,17031063200,2
17031280100,17031063200,3
17031081201,17031063301,1
17031081800,17031063301,1
17031242100,17031063301,1
17031061000,17031063301,2
17031081401,17031063301,1
17031243500,17031063301,1
17031833000,17031063301,3
