GEOID_c1,GEOID_c2,n
10003001902,10003000601,.0240117128006634
42101025700,10003000900,.0123589698008505
42101012500,10003001100,.0049146780677696
42101000100,10003001200,.2801366561244097
42091205400,10003001200,.0646469211257516
42101001202,10003001300,.0514536705107623
42101000902,10003001300,.0133398411405399
42101012500,10003001500,.0049146780677696
42101036600,10003001902,.0051558891028205
42101000402,10003002700,.0066174011039078
42101012500,10003002700,.0049146780677696
42101000500,10003002800,.168081991170029
10003001902,10003002800,.0480234256013267
42101012500,10003010101,.0161617302814379
42101012203,10003010104,.0605700874722214
10003001902,10003010300,.0480234256013267
42101001002,10003010502,.0161617302814379
10003001902,10003010502,.0240117128006634
10003001902,10003010702,.0240117128006634
42101012500,10003010800,.0210478345849047
34015502200,10003010800,.0082393134614646
10003001902,10003011100,.0480234256013267
34015502200,10003011203,.0082393134614646
10003001902,10003011700,.0240117128006634
42101012500,10003011800,.0048861043034668
42101000902,10003011800,.0266796822810797
42101000100,10003011900,.1120546649543807
10003001902,10003012000,.0240117128006634
42101001800,10003012200,.0121798544779843
42101001001,10003013100,.0059183797723465
42101001202,10003013400,.0171512229817923
10003011600,10003013501,.4202049716635305
42101012500,10003013505,.0049146780677696
10003001902,10003013506,.0240117128006634
10003011600,10003013604,.4202049716635305
42101012500,10003013604,.0442321026099265
10003013610,10003013611,.840409943327061
42101000100,10003013611,.0600292843497366
42101000300,10003013612,.0454275656041661
10003001902,10003013613,.0240117128006634
42101037600,10003013615,.0764009062157481
42101000402,10003013800,.0066174011039078
42101012500,10003013800,.0161617302814379
42101000500,10003013800,.0525256214579413
10003001902,10003013904,.0240117128006634
42101000300,10003014402,.0764009062157481
42101012500,10003014501,.0097722086069336
10003001902,10003014502,.0240117128006634
42101000300,10003014705,.0300146421748683
42101012500,10003014803,.0048861043034668
10003014903,10003014808,.840409943327061
42101036600,10003014809,.0051558891028205
10003001902,10003014809,.0480234256013267
10003001902,10003014904,.0480234256013267
42101012500,10003014904,.0048861043034668
10003001902,10003016301,.0240117128006634
34015502200,10003016301,.0082393134614646
42101000600,10003016302,.0131314053644853
10003001902,10003016302,.0240117128006634
42101008801,10003016302,.1050512429158826
42101036600,10003016404,.010311778205641
42101000200,10003016602,.0280136662385952
42101000801,34005700102,.0630307466887609
42101000300,34005700102,.0300146421748683
42101001800,34005700200,.0121798544779843
42101002200,34005700200,.0120058564003317
42101000300,34005700303,.0600292843497366
42101036600,34005700303,.0051558891028205
42091201902,34005700407,.0140068331192976
42101001800,34005700407,.0121798544779843
42101020800,34005700407,.0210102488962536
